Metric,Value
run_id,backtest_20250530_232521
initial_portfolio_value_usdt,1000
final_portfolio_value_usdt,72.27191550438815
total_net_pnl_usdt,-927.7280844956118
total_net_pnl_percent,-92.77280844956118
total_trades,11256
