number,value,datetime_start,datetime_complete,duration,params_min_order_notional_usdt,params_min_rebalance_interval_minutes,params_rebalance_threshold,params_spot_pct,state
122,-0.08697850561164024,2025-06-11 19:27:18.817884,2025-06-11 19:27:19.742385,0 days 00:00:00.924501,35.46276814535257,163,0.030091216957370853,0.65,COMPLETE
98,-0.09497952745636337,2025-06-11 19:26:54.309678,2025-06-11 19:26:55.427593,0 days 00:00:01.117915,33.397181550390286,161,0.0322189652240972,0.65,COMPLETE
195,-0.09682617019999888,2025-06-11 19:28:36.076606,2025-06-11 19:28:37.195346,0 days 00:00:01.118740,38.460271279147115,178,0.010242156355172824,0.65,COMPLETE
102,-0.1025699013396005,2025-06-11 19:26:58.624813,2025-06-11 19:26:59.722638,0 days 00:00:01.097825,35.839158017690856,162,0.027748036422427163,0.65,COMPLETE
4,-0.11657222368718798,2025-06-11 19:25:20.980867,2025-06-11 19:25:21.829302,0 days 00:00:00.848435,23.061838026881382,102,0.03719984669664166,0.15,COMPLETE
157,-0.1174648072270359,2025-06-11 19:27:54.883296,2025-06-11 19:27:55.838052,0 days 00:00:00.954756,37.84736322156547,169,0.03449308263091849,0.65,COMPLETE
184,-0.11961445421071878,2025-06-11 19:28:23.796939,2025-06-11 19:28:24.950820,0 days 00:00:01.153881,36.93355630236863,171,0.008047943082565007,0.65,COMPLETE
174,-0.11961445421071878,2025-06-11 19:28:13.114899,2025-06-11 19:28:14.251529,0 days 00:00:01.136630,36.91235505857708,173,0.007837372067035539,0.65,COMPLETE
43,-0.12125123040393083,2025-06-11 19:25:57.725975,2025-06-11 19:25:58.712920,0 days 00:00:00.986945,24.327409168451,114,0.03895971343815618,0.7,COMPLETE
133,-0.13633003936805518,2025-06-11 19:27:30.185202,2025-06-11 19:27:31.274964,0 days 00:00:01.089762,35.10388780005164,178,0.03356853351495672,0.65,COMPLETE
93,-0.13851444381673153,2025-06-11 19:26:49.406791,2025-06-11 19:26:50.317036,0 days 00:00:00.910245,32.46085849107777,70,0.031349213608007534,0.7,COMPLETE
154,-0.14349495267912082,2025-06-11 19:27:51.838324,2025-06-11 19:27:52.829504,0 days 00:00:00.991180,36.781866533618874,175,0.03307026384034116,0.65,COMPLETE
105,-0.1586053680844973,2025-06-11 19:27:01.877416,2025-06-11 19:27:02.940383,0 days 00:00:01.062967,36.7376687506459,164,0.029908702989150562,0.65,COMPLETE
113,-0.16848211091053175,2025-06-11 19:27:09.965078,2025-06-11 19:27:10.915930,0 days 00:00:00.950852,37.463473260058976,175,0.03403986884024312,0.65,COMPLETE
112,-0.16848211091053175,2025-06-11 19:27:08.915178,2025-06-11 19:27:09.965078,0 days 00:00:01.049900,37.279884973962005,175,0.033141547882301066,0.65,COMPLETE
151,-0.16848211091053175,2025-06-11 19:27:48.865750,2025-06-11 19:27:49.854013,0 days 00:00:00.988263,37.70059259784192,172,0.035271758068357424,0.65,COMPLETE
198,-0.16848211091053175,2025-06-11 19:28:39.250753,2025-06-11 19:28:40.315527,0 days 00:00:01.064774,37.16212610545467,171,0.006264073305505619,0.65,COMPLETE
141,-0.19804259419230355,2025-06-11 19:27:39.165697,2025-06-11 19:27:40.351783,0 days 00:00:01.186086,37.24624802847393,170,0.03464725281624697,0.65,COMPLETE
109,-0.22069889760679504,2025-06-11 19:27:05.924386,2025-06-11 19:27:06.973344,0 days 00:00:01.048958,31.439892677278145,148,0.03642993175122272,0.65,COMPLETE
111,-0.22069889760679504,2025-06-11 19:27:07.971249,2025-06-11 19:27:08.914178,0 days 00:00:00.942929,31.532969255518253,150,0.03615302767956734,0.65,COMPLETE
101,-0.2345310907799261,2025-06-11 19:26:57.593448,2025-06-11 19:26:58.624813,0 days 00:00:01.031365,34.07691179377842,159,0.02929993483618575,0.65,COMPLETE
116,-0.23740141111601742,2025-06-11 19:27:12.900076,2025-06-11 19:27:13.923476,0 days 00:00:01.023400,37.88780997413928,180,0.031067372519063347,0.6,COMPLETE
107,-0.24148792834381527,2025-06-11 19:27:03.964041,2025-06-11 19:27:04.940312,0 days 00:00:00.976271,38.60282613325168,165,0.029987512003240735,0.65,COMPLETE
33,-0.25441387061583176,2025-06-11 19:25:47.620780,2025-06-11 19:25:48.531616,0 days 00:00:00.910836,20.14240234917608,73,0.049884622487202546,0.45,COMPLETE
104,-0.26117916549231657,2025-06-11 19:27:00.794027,2025-06-11 19:27:01.877416,0 days 00:00:01.083389,34.046740518450015,149,0.02596821310833551,0.65,COMPLETE
118,-0.2776378406194738,2025-06-11 19:27:14.908463,2025-06-11 19:27:15.816137,0 days 00:00:00.907674,34.83167268184798,168,0.03438632262046334,0.65,COMPLETE
10,-0.2840977225927483,2025-06-11 19:25:27.087749,2025-06-11 19:25:27.956430,0 days 00:00:00.868681,29.46584665537603,74,0.0487239189232955,0.45,COMPLETE
77,-0.3487443434689699,2025-06-11 19:26:33.754533,2025-06-11 19:26:34.722872,0 days 00:00:00.968339,33.03527908264805,78,0.045345136829924755,0.7,COMPLETE
44,-0.3735839163161395,2025-06-11 19:25:58.712920,2025-06-11 19:25:59.779645,0 days 00:00:01.066725,24.62597930703536,115,0.040842668529650676,0.7,COMPLETE
187,-0.39126143337306846,2025-06-11 19:28:27.102789,2025-06-11 19:28:28.225636,0 days 00:00:01.122847,35.94556961799376,168,0.008079238898984898,0.65,COMPLETE
194,-0.39126143337306846,2025-06-11 19:28:34.973875,2025-06-11 19:28:36.064864,0 days 00:00:01.090989,36.36133591703583,170,0.008647086434572272,0.65,COMPLETE
126,-0.39126143337306846,2025-06-11 19:27:22.610749,2025-06-11 19:27:23.647691,0 days 00:00:01.036942,35.89168351953681,168,0.029774240088192308,0.65,COMPLETE
106,-0.39126143337306846,2025-06-11 19:27:02.940383,2025-06-11 19:27:03.963051,0 days 00:00:01.022668,36.33294381255507,166,0.025982714958310966,0.65,COMPLETE
196,-0.4112055775861096,2025-06-11 19:28:37.195346,2025-06-11 19:28:38.208922,0 days 00:00:01.013576,36.35637282881354,174,0.007315322367456796,0.65,COMPLETE
182,-0.4112055775861096,2025-06-11 19:28:21.713430,2025-06-11 19:28:22.869871,0 days 00:00:01.156441,36.511882641839556,173,0.005010432321226912,0.65,COMPLETE
161,-0.4112055775861096,2025-06-11 19:27:58.863721,2025-06-11 19:27:59.903868,0 days 00:00:01.040147,36.34663707203806,171,0.03583007276627258,0.65,COMPLETE
53,-0.4148736413423003,2025-06-11 19:26:08.444545,2025-06-11 19:26:09.420611,0 days 00:00:00.976066,20.034761302377103,100,0.041435060473158765,0.7,COMPLETE
189,-0.431536757550084,2025-06-11 19:28:29.451134,2025-06-11 19:28:30.557311,0 days 00:00:01.106177,39.053672374383574,176,0.007342518026643291,0.75,COMPLETE
83,-0.4394684542714325,2025-06-11 19:26:39.616188,2025-06-11 19:26:40.526031,0 days 00:00:00.909843,28.99496425199765,135,0.03768918823162407,0.7,COMPLETE
178,-0.4822135518849417,2025-06-11 19:28:17.420787,2025-06-11 19:28:18.537618,0 days 00:00:01.116831,36.271797380922756,175,0.006928057977420949,0.65,COMPLETE
81,-0.5086558006018719,2025-06-11 19:26:37.754308,2025-06-11 19:26:38.658835,0 days 00:00:00.904527,23.086327968542033,65,0.043881272760313436,0.7,COMPLETE
46,-0.5105291115847556,2025-06-11 19:26:00.969871,2025-06-11 19:26:01.946325,0 days 00:00:00.976454,32.68411866337756,111,0.04833466407821741,0.6,COMPLETE
185,-0.5159771471527639,2025-06-11 19:28:24.950820,2025-06-11 19:28:25.988491,0 days 00:00:01.037671,38.50369505717898,174,0.006787432875776936,0.65,COMPLETE
139,-0.5263460125379916,2025-06-11 19:27:36.871706,2025-06-11 19:27:38.018572,0 days 00:00:01.146866,38.52277172729714,180,0.033060575273010734,0.65,COMPLETE
170,-0.5455714285865534,2025-06-11 19:28:08.805985,2025-06-11 19:28:09.965637,0 days 00:00:01.159652,39.005360866699114,168,0.011258041155763067,0.75,COMPLETE
193,-0.5718367881094792,2025-06-11 19:28:33.778018,2025-06-11 19:28:34.973875,0 days 00:00:01.195857,35.13516373759771,174,0.009267754499616414,0.65,COMPLETE
108,-0.5718367881094792,2025-06-11 19:27:04.940312,2025-06-11 19:27:05.924386,0 days 00:00:00.984074,35.08014646494327,172,0.031480756477587656,0.65,COMPLETE
168,-0.575773637732292,2025-06-11 19:28:06.472590,2025-06-11 19:28:07.602097,0 days 00:00:01.129507,38.75951781462002,180,0.010517802587212672,0.65,COMPLETE
117,-0.6033034638936362,2025-06-11 19:27:13.923476,2025-06-11 19:27:14.908463,0 days 00:00:00.984987,36.58777269722383,172,0.02859400914138167,0.75,COMPLETE
62,-0.6082896062851444,2025-06-11 19:26:17.702130,2025-06-11 19:26:19.086161,0 days 00:00:01.384031,59.62949231086698,98,0.04406396764318838,0.75,COMPLETE
148,-0.6236577162888394,2025-06-11 19:27:45.967347,2025-06-11 19:27:46.942144,0 days 00:00:00.974797,39.87620110214299,180,0.0368901391698921,0.65,COMPLETE
175,-0.6236577162888394,2025-06-11 19:28:14.251529,2025-06-11 19:28:15.372707,0 days 00:00:01.121178,39.883925992758286,177,0.009291917035456253,0.65,COMPLETE
89,-0.6384380743721414,2025-06-11 19:26:45.435517,2025-06-11 19:26:46.459747,0 days 00:00:01.024230,24.759095250919565,75,0.0242218250749517,0.7,COMPLETE
51,-0.6477703392823343,2025-06-11 19:26:06.334889,2025-06-11 19:26:07.445732,0 days 00:00:01.110843,24.186999492735023,117,0.04231457284187925,0.7,COMPLETE
36,-0.6653499274795099,2025-06-11 19:25:50.245290,2025-06-11 19:25:51.103365,0 days 00:00:00.858075,21.988730639397616,33,0.03847814967230398,0.65,COMPLETE
34,-0.6654186941421473,2025-06-11 19:25:48.531616,2025-06-11 19:25:49.404036,0 days 00:00:00.872420,20.215024807239327,88,0.045966865883165384,0.45,COMPLETE
99,-0.6744303415419953,2025-06-11 19:26:55.427593,2025-06-11 19:26:56.537545,0 days 00:00:01.109952,27.397330880815044,170,0.03223839348680061,0.65,COMPLETE
54,-0.6917342217844347,2025-06-11 19:26:09.420611,2025-06-11 19:26:10.433295,0 days 00:00:01.012684,25.27488401945277,91,0.04758304702363417,0.55,COMPLETE
120,-0.7107581416166351,2025-06-11 19:27:16.916027,2025-06-11 19:27:17.842488,0 days 00:00:00.926461,32.14192288700103,175,0.02689649215911163,0.8,COMPLETE
74,-0.797098469609651,2025-06-11 19:26:30.435862,2025-06-11 19:26:31.555300,0 days 00:00:01.119438,23.555624269130124,117,0.0353812335693653,0.7,COMPLETE
84,-0.8027237639553119,2025-06-11 19:26:40.526031,2025-06-11 19:26:41.518241,0 days 00:00:00.992210,41.300284173771175,99,0.0409992171068217,0.65,COMPLETE
110,-0.8098169169411775,2025-06-11 19:27:06.973344,2025-06-11 19:27:07.971249,0 days 00:00:00.997905,33.720751511620044,154,0.028021077843291935,0.65,COMPLETE
158,-0.811605863829431,2025-06-11 19:27:55.838052,2025-06-11 19:27:56.811522,0 days 00:00:00.973470,39.738512256697575,174,0.033576179749582956,0.65,COMPLETE
140,-0.811605863829431,2025-06-11 19:27:38.018572,2025-06-11 19:27:39.165697,0 days 00:00:01.147125,39.34721827529332,173,0.03224056709245063,0.65,COMPLETE
14,-0.8282897360755251,2025-06-11 19:25:30.704376,2025-06-11 19:25:31.547429,0 days 00:00:00.843053,24.89431928405416,88,0.042377566288668886,0.45,COMPLETE
11,-0.838743666334626,2025-06-11 19:25:27.956430,2025-06-11 19:25:28.865510,0 days 00:00:00.909080,28.727203565586734,64,0.04907315878351741,0.45,COMPLETE
5,-0.8406716594671276,2025-06-11 19:25:21.829302,2025-06-11 19:25:23.225471,0 days 00:00:01.396169,58.89972514391001,40,0.012660104920687962,0.75,COMPLETE
88,-0.8438240089138379,2025-06-11 19:26:44.434944,2025-06-11 19:26:45.434514,0 days 00:00:00.999570,28.01916292274165,45,0.04459103236459387,0.5,COMPLETE
63,-0.8441299268137882,2025-06-11 19:26:19.086161,2025-06-11 19:26:20.537070,0 days 00:00:01.450909,55.54371234037417,78,0.04867463075695457,0.75,COMPLETE
61,-0.8492881209054971,2025-06-11 19:26:16.794236,2025-06-11 19:26:17.702130,0 days 00:00:00.907894,42.873960191018064,82,0.04667378728855602,0.75,COMPLETE
24,-0.8567445625023585,2025-06-11 19:25:39.421304,2025-06-11 19:25:40.286961,0 days 00:00:00.865657,28.44580764928496,68,0.03677073459475433,0.45,COMPLETE
42,-0.8889026108856158,2025-06-11 19:25:56.755035,2025-06-11 19:25:57.725975,0 days 00:00:00.970940,22.22504106213241,30,0.04750821923464475,0.65,COMPLETE
59,-0.8931759635873333,2025-06-11 19:26:14.368386,2025-06-11 19:26:15.407412,0 days 00:00:01.039026,24.21608703716568,60,0.020337447210548924,0.5,COMPLETE
73,-0.894843513159474,2025-06-11 19:26:29.393077,2025-06-11 19:26:30.435862,0 days 00:00:01.042785,57.612798674059796,90,0.04044485033264009,0.7,COMPLETE
186,-0.9139538139502131,2025-06-11 19:28:25.988491,2025-06-11 19:28:27.102789,0 days 00:00:01.114298,47.11256429218575,177,0.009353545850082351,0.55,COMPLETE
103,-0.9345285318511233,2025-06-11 19:26:59.722638,2025-06-11 19:27:00.794027,0 days 00:00:01.071389,35.71374276946523,160,0.02908554189547506,0.65,COMPLETE
123,-0.9345285318511233,2025-06-11 19:27:19.742385,2025-06-11 19:27:20.776376,0 days 00:00:01.033991,35.653352704529134,157,0.030498821129895555,0.65,COMPLETE
66,-0.9483197707227633,2025-06-11 19:26:22.377694,2025-06-11 19:26:23.327129,0 days 00:00:00.949435,23.056697724063714,85,0.04593692810782351,0.6,COMPLETE
8,-0.9525970265280371,2025-06-11 19:25:25.050205,2025-06-11 19:25:26.081227,0 days 00:00:01.031022,56.84644255433615,162,0.010306918154531212,0.7,COMPLETE
82,-0.960298172565559,2025-06-11 19:26:38.658835,2025-06-11 19:26:39.616188,0 days 00:00:00.957353,20.2128411159919,113,0.04530509128786905,0.7,COMPLETE
41,-1.0127112239377591,2025-06-11 19:25:55.547750,2025-06-11 19:25:56.754013,0 days 00:00:01.206263,22.52444453067034,30,0.04999917331146728,0.65,COMPLETE
16,-1.023190121802333,2025-06-11 19:25:32.510442,2025-06-11 19:25:33.337350,0 days 00:00:00.826908,25.052964793961703,95,0.04410008966919324,0.8,COMPLETE
70,-1.0620817344949955,2025-06-11 19:26:26.308580,2025-06-11 19:26:27.409871,0 days 00:00:01.101291,47.003053337521116,97,0.02808235548383,0.25,COMPLETE
72,-1.0754835452406006,2025-06-11 19:26:28.439760,2025-06-11 19:26:29.377383,0 days 00:00:00.937623,21.211110354704623,101,0.04453182720663856,0.45,COMPLETE
22,-1.106176523150131,2025-06-11 19:25:37.691798,2025-06-11 19:25:38.536612,0 days 00:00:00.844814,30.636535549675838,82,0.0436553368532801,0.45,COMPLETE
149,-1.1071378362421136,2025-06-11 19:27:46.942144,2025-06-11 19:27:47.919327,0 days 00:00:00.977183,40.523942296766755,174,0.03620763064686538,0.65,COMPLETE
30,-1.1279924625165278,2025-06-11 19:25:44.886833,2025-06-11 19:25:45.809468,0 days 00:00:00.922635,23.270922752660404,143,0.027077141749005898,0.75,COMPLETE
52,-1.1442442837799935,2025-06-11 19:26:07.446716,2025-06-11 19:26:08.443568,0 days 00:00:00.996852,23.966907730605282,131,0.03517046901744827,0.7,COMPLETE
79,-1.1519502352765805,2025-06-11 19:26:35.711574,2025-06-11 19:26:36.699751,0 days 00:00:00.988177,30.915160509187174,55,0.04783068184493398,0.75,COMPLETE
50,-1.1910060126167277,2025-06-11 19:26:05.348754,2025-06-11 19:26:06.333883,0 days 00:00:00.985129,38.4111421543398,166,0.03978530552024589,0.8,COMPLETE
71,-1.2268714915562742,2025-06-11 19:26:27.409871,2025-06-11 19:26:28.439760,0 days 00:00:01.029889,20.15535667741971,109,0.041799829148625886,0.7,COMPLETE
96,-1.2665804853510882,2025-06-11 19:26:52.227516,2025-06-11 19:26:53.251370,0 days 00:00:01.023854,31.855137858253038,156,0.03039685423016102,0.35,COMPLETE
75,-1.269949884778095,2025-06-11 19:26:31.555300,2025-06-11 19:26:32.642916,0 days 00:00:01.087616,21.98352637082435,102,0.041619452305445795,0.8,COMPLETE
160,-1.2746026841639098,2025-06-11 19:27:57.915298,2025-06-11 19:27:58.862811,0 days 00:00:00.947513,40.4217526245514,176,0.0323812153077738,0.65,COMPLETE
153,-1.3272901259837422,2025-06-11 19:27:50.891683,2025-06-11 19:27:51.838324,0 days 00:00:00.946641,41.65375654297058,170,0.036735178496018636,0.65,COMPLETE
2,-1.3273368935203058,2025-06-11 19:25:19.094063,2025-06-11 19:25:20.002576,0 days 00:00:00.908513,21.79559126138647,138,0.01477031424057763,0.65,COMPLETE
119,-1.356063933847046,2025-06-11 19:27:15.816137,2025-06-11 19:27:16.916027,0 days 00:00:01.099890,41.91029198311489,144,0.025916931528171323,0.15,COMPLETE
164,-1.376350515273747,2025-06-11 19:28:02.145454,2025-06-11 19:28:03.352514,0 days 00:00:01.207060,45.45922371192133,177,0.012711057839025323,0.6,COMPLETE
94,-1.3911304231774657,2025-06-11 19:26:50.317036,2025-06-11 19:26:51.288378,0 days 00:00:00.971342,33.30819397568928,154,0.031668107829255374,0.7,COMPLETE
19,-1.4180938986359606,2025-06-11 19:25:35.073496,2025-06-11 19:25:35.990231,0 days 00:00:00.916735,39.500085302545685,88,0.035311463903913855,0.1,COMPLETE
127,-1.427066405436248,2025-06-11 19:27:23.647691,2025-06-11 19:27:24.608540,0 days 00:00:00.960849,33.39508575733974,162,0.0313229193501265,0.75,COMPLETE
176,-1.4708415091081586,2025-06-11 19:28:15.372707,2025-06-11 19:28:16.336210,0 days 00:00:00.963503,37.23433796071694,171,0.021352316215905595,0.8,COMPLETE
129,-1.4731116020495911,2025-06-11 19:27:25.741558,2025-06-11 19:27:26.809072,0 days 00:00:01.067514,32.57138389250094,167,0.027855091386395168,0.5,COMPLETE
9,-1.4793487288229723,2025-06-11 19:25:26.082319,2025-06-11 19:25:27.086721,0 days 00:00:01.004402,54.278751544702764,114,0.03599980962459177,0.6,COMPLETE
20,-1.4800998927393838,2025-06-11 19:25:35.990231,2025-06-11 19:25:36.858019,0 days 00:00:00.867788,24.038401558142656,132,0.0293818822289302,0.45,COMPLETE
26,-1.5168489713376279,2025-06-11 19:25:41.125116,2025-06-11 19:25:42.023197,0 days 00:00:00.898081,34.16066421089468,102,0.04153773185454768,0.35,COMPLETE
3,-1.536452532855153,2025-06-11 19:25:20.002576,2025-06-11 19:25:20.979560,0 days 00:00:00.976984,45.50977257725869,37,0.030879348555515582,0.2,COMPLETE
38,-1.5397026303196293,2025-06-11 19:25:51.976503,2025-06-11 19:25:53.118396,0 days 00:00:01.141893,22.58931504627641,75,0.018490107417333417,0.65,COMPLETE
69,-1.5705913835633976,2025-06-11 19:26:25.281733,2025-06-11 19:26:26.307136,0 days 00:00:01.025403,37.56844681602574,126,0.037176878831496576,0.7,COMPLETE
